type,key,value,date
negative,activist,2,1998
negative,activist,0,1999
negative,activist,0,2000
negative,activist,8,2001
negative,activist,0,2002
negative,activist,0,2003
negative,activist,0,2004
negative,activist,6,2005
negative,activist,0,2006
negative,activist,0,2007
negative,activist,0,2008
negative,activist,9,2009
negative,activist,0,2010
negative,activist,0,2011
negative,activist,9,2012
negative,activist,0,2013
negative,activist,2,2014
negative,contamin,14,1998
negative,contamin,4,1999
negative,contamin,0,2000
negative,contamin,1,2001
negative,contamin,0,2002
negative,contamin,0,2003
negative,contamin,0,2004
negative,contamin,5,2005
negative,contamin,0,2006
negative,contamin,0,2007
negative,contamin,0,2008
negative,contamin,20,2009
negative,contamin,0,2010
negative,contamin,0,2011
negative,contamin,4,2012
negative,contamin,0,2013
negative,contamin,0,2014
negative,death,20,1998
negative,death,0,1999
negative,death,6,2000
negative,death,4,2001
negative,death,0,2002
negative,death,8,2003
negative,death,0,2004
negative,death,0,2005
negative,death,0,2006
negative,death,10,2007
negative,death,0,2008
negative,death,14,2009
negative,death,0,2010
negative,death,12,2011
negative,death,18,2012
negative,death,0,2013
negative,death,0,2014
positive,develop,8,1998
positive,develop,0,1999
positive,develop,2,2000
positive,develop,3,2001
positive,develop,0,2002
positive,develop,0,2003
positive,develop,0,2004
positive,develop,0,2005
positive,develop,0,2006
positive,develop,0,2007
positive,develop,0,2008
positive,develop,6,2009
positive,develop,0,2010
positive,develop,0,2011
positive,develop,1,2012
positive,develop,0,2013
positive,develop,1,2014
positive,environ,13,1998
positive,environ,0,1999
positive,environ,0,2000
positive,environ,3,2001
positive,environ,0,2002
positive,environ,5,2003
positive,environ,0,2004
positive,environ,5,2005
positive,environ,0,2006
positive,environ,0,2007
positive,environ,0,2008
positive,environ,22,2009
positive,environ,0,2010
positive,environ,0,2011
positive,environ,5,2012
positive,environ,10,2013
positive,environ,8,2014
negative,forc,0,1998
negative,forc,0,1999
negative,forc,0,2000
negative,forc,3,2001
negative,forc,0,2002
negative,forc,0,2003
negative,forc,0,2004
negative,forc,4,2005
negative,forc,0,2006
negative,forc,4,2007
negative,forc,0,2008
negative,forc,11,2009
negative,forc,0,2010
negative,forc,6,2011
negative,forc,5,2012
negative,forc,2,2013
negative,forc,19,2014
positive,health,14,1998
positive,health,2,1999
positive,health,0,2000
positive,health,5,2001
positive,health,0,2002
positive,health,0,2003
positive,health,0,2004
positive,health,0,2005
positive,health,0,2006
positive,health,0,2007
positive,health,0,2008
positive,health,8,2009
positive,health,0,2010
positive,health,0,2011
positive,health,4,2012
positive,health,0,2013
positive,health,1,2014
positive,investig,2,1998
positive,investig,0,1999
positive,investig,9,2000
positive,investig,0,2001
positive,investig,0,2002
positive,investig,0,2003
positive,investig,0,2004
positive,investig,0,2005
positive,investig,0,2006
positive,investig,8,2007
positive,investig,0,2008
positive,investig,1,2009
positive,investig,0,2010
positive,investig,5,2011
positive,investig,0,2012
positive,investig,0,2013
positive,investig,26,2014
negative,pollut,7,1998
negative,pollut,1,1999
negative,pollut,0,2000
negative,pollut,4,2001
negative,pollut,0,2002
negative,pollut,0,2003
negative,pollut,0,2004
negative,pollut,5,2005
negative,pollut,0,2006
negative,pollut,0,2007
negative,pollut,0,2008
negative,pollut,6,2009
negative,pollut,0,2010
negative,pollut,0,2011
negative,pollut,1,2012
negative,pollut,0,2013
negative,pollut,0,2014
negative,problem,13,1998
negative,problem,0,1999
negative,problem,5,2000
negative,problem,5,2001
negative,problem,0,2002
negative,problem,0,2003
negative,problem,0,2004
negative,problem,0,2005
negative,problem,0,2006
negative,problem,0,2007
negative,problem,0,2008
negative,problem,1,2009
negative,problem,0,2010
negative,problem,0,2011
negative,problem,0,2012
negative,problem,0,2013
negative,problem,0,2014
positive,protector,0,1998
positive,protector,0,1999
positive,protector,0,2000
positive,protector,2,2001
positive,protector,0,2002
positive,protector,0,2003
positive,protector,0,2004
positive,protector,2,2005
positive,protector,0,2006
positive,protector,0,2007
positive,protector,0,2008
positive,protector,6,2009
positive,protector,0,2010
positive,protector,0,2011
positive,protector,2,2012
positive,protector,0,2013
positive,protector,5,2014
negative,protest,0,1998
negative,protest,0,1999
negative,protest,0,2000
negative,protest,8,2001
negative,protest,0,2002
negative,protest,0,2003
negative,protest,0,2004
negative,protest,11,2005
negative,protest,0,2006
negative,protest,0,2007
negative,protest,0,2008
negative,protest,30,2009
negative,protest,0,2010
negative,protest,0,2011
negative,protest,10,2012
negative,protest,6,2013
negative,protest,2,2014
positive,secur,2,1998
positive,secur,0,1999
positive,secur,0,2000
positive,secur,0,2001
positive,secur,0,2002
positive,secur,0,2003
positive,secur,0,2004
positive,secur,1,2005
positive,secur,0,2006
positive,secur,0,2007
positive,secur,0,2008
positive,secur,5,2009
positive,secur,1,2010
positive,secur,1,2011
positive,secur,6,2012
positive,secur,3,2013
positive,secur,23,2014
negative,water,13,1998
negative,water,5,1999
negative,water,0,2000
negative,water,3,2001
negative,water,0,2002
negative,water,0,2003
negative,water,0,2004
negative,water,6,2005
negative,water,0,2006
negative,water,0,2007
negative,water,0,2008
negative,water,13,2009
negative,water,0,2010
negative,water,6,2011
negative,water,5,2012
negative,water,5,2013
negative,water,2,2014
