"source","target","value","color","width"
"FIEBRE","DOLOR ABDOMINAL",148,"#808000C9",0.787136296663847
"FIEBRE","EMBARAZO",23,"#80800083",0.515620969279029
"FIEBRE","DOLOR DE GARGANTA",91,"#808000B7",0.716205991042157
"FIEBRE","DISNEA",29,"#8080008C",0.549427211241517
"FIEBRE","DIARREA",184,"#808000D1",0.818889366225975
"FIEBRE","BRONCOESPASMO",469,"#808000F4",0.955348232111447
"FIEBRE","ERUPCION CUTANEA",268,"#808000DF",0.873733154451568
"FIEBRE","MALESTAR GENERAL",369,"#808000EB",0.920374602187788
"FIEBRE","INFECCION DEL TRACTO URINARIO",171,"#808000CE",0.808203255303935
"FIEBRE","CATARRO DE LAS VIAS AEREAS SUPERIORES",637,"#808000FF",1
"FIEBRE","INFECCION URINARIA BAJA",23,"#80800083",0.515620969279029
"FIEBRE","OTITIS MEDIA AGUDA",137,"#808000C6",0.775872778736972
"FIEBRE","CEFALEA",52,"#808000A2",0.634590913382278
"FIEBRE","CERVICALGIA",20,"#8080007E",0.495237909996648
"FIEBRE","OTALGIA",186,"#808000D1",0.820466043968887
"FIEBRE","HERIDA CORTANTE EN EL CUERO CABELLUDO",16,"#80800076",0.462694370907089
"FIEBRE","GASTROENTERITIS AGUDA",54,"#808000A3",0.640095010774871
"FIEBRE","OTITIS EXTERNA",29,"#8080008C",0.549427211241517
"FIEBRE","ESCARLATINA",12,"#8080006B",0.420738451880701
"FIEBRE","CUADRO VIRAL",41,"#80800099",0.599928577644636
"FIEBRE","HIPERTENSION ARTERIAL",27,"#80800089",0.539005545125889
"FIEBRE","VOMITOS",272,"#808000DF",0.875893805389157
"FIEBRE","TRAUMATISMO ENCEFALOCRANEANO",118,"#808000C0",0.75409921642383
"FIEBRE","RECIEN NACIDO A TERMINO",19,"#8080007C",0.487757230760782
"FIEBRE","TOS",570,"#808000FB",0.983792179068863
"FIEBRE","NEUMONIA",133,"#808000C5",0.771551239718625
"FIEBRE","CONTROL DE SALUD",280,"#808000E0",0.880121384603473
"FIEBRE","FARINGITIS AGUDA",50,"#808000A0",0.628870914735188
"FIEBRE","GRIPE",25,"#80800087",0.527781449086206
"FIEBRE","IRRITACION OCULAR",111,"#808000BE",0.745180377637459
"FIEBRE","ANEMIA",24,"#80800085",0.521827917529683
"FIEBRE","VARICELA",34,"#80800092",0.57262540844221
"FIEBRE","CONTROL POR OFTALMOLOGIA",41,"#80800099",0.599928577644636
"FIEBRE","CONJUNTIVITIS",145,"#808000C8",0.78414968162904
"FIEBRE","FARINGITIS",275,"#808000E0",0.877493542863444
"FIEBRE","LUMBALGIA",26,"#80800088",0.533501447733296
"FIEBRE","COLICO ABDOMINAL",17,"#80800078",0.471535942793228
"FIEBRE","CONGESTION NASAL",29,"#8080008C",0.549427211241517
"FIEBRE","REACCION ALERGICA",45,"#8080009C",0.613505003241836
"FIEBRE","DOLOR TORACICO",11,"#80800068",0.408048602088398
"FIEBRE","HERIDA CORTANTE DEL MENTON",18,"#8080007A",0.479871998503295
"FIEBRE","SOSPECHA DE VARICELA",11,"#80800068",0.408048602088398
"FIEBRE","DIFICULTAD RESPIRATORIA",39,"#80800097",0.59263499435589
"FIEBRE","ALERGIA",17,"#80800078",0.471535942793228
"FIEBRE","ESTADO POSOPERATORIO",51,"#808000A1",0.631758955064804
"FIEBRE","HERPANGINA",35,"#80800093",0.576852987656526
"FIEBRE","DERMATITIS",26,"#80800088",0.533501447733296
"FIEBRE","TRAUMATISMO DE MANO",14,"#80800071",0.443219982917986
"FIEBRE","RINORREA",20,"#8080007E",0.495237909996648
"FIEBRE","TRAUMATISMO DEL PIE",23,"#80800083",0.515620969279029
"FIEBRE","LARINGITIS",103,"#808000BB",0.73427127366575
"FIEBRE","IMPETIGO",11,"#80800068",0.408048602088398
"FIEBRE","TRAUMATISMO FACIAL",18,"#8080007A",0.479871998503295
"FIEBRE","INFECCION RESPIRATORIA",22,"#80800082",0.509138067737381
"FIEBRE","CUADRO GRIPAL",35,"#80800093",0.576852987656526
"FIEBRE","TRAUMATISMO DE DEDO DE LA MANO",11,"#80800068",0.408048602088398
"FIEBRE","DISURIA",18,"#8080007A",0.479871998503295
"FIEBRE","GASTROENTERITIS",143,"#808000C7",0.782124075861552
"FIEBRE","ODINOFAGIA",50,"#808000A0",0.628870914735188
"FIEBRE","BRONQUITIS AGUDA",15,"#80800074",0.453281990970259
"FIEBRE","ALERGIA A PICADURAS DE INSECTOS",12,"#8080006B",0.420738451880701
"FIEBRE","PODALGIA",11,"#80800068",0.408048602088398
"FIEBRE","RECIEN NACIDO",38,"#80800096",0.588846696409764
"FIEBRE","NEUTROPENIA FEBRIL",36,"#80800094",0.580961464152277
"FIEBRE","TOS PRODUCTIVA",13,"#8080006E",0.432411982084314
"FIEBRE","INSUFICIENCIA RENAL CRONICA",43,"#8080009B",0.606874712833901
"FIEBRE","NEUMONIA ADQUIRIDA EN LA COMUNIDAD",12,"#8080006B",0.420738451880701
"FIEBRE","TRAUMATISMO NASAL",11,"#80800068",0.408048602088398
"FIEBRE","OTITIS MEDIA AGUDA DERECHA",25,"#80800087",0.527781449086206
"FIEBRE","TOS CON FIEBRE",155,"#808000CA",0.793876036435851
"FIEBRE","CATARRO BRONQUIAL",27,"#80800089",0.539005545125889
"FIEBRE","GONALGIA",14,"#80800071",0.443219982917986
"FIEBRE","DESHIDRATACION",12,"#8080006B",0.420738451880701
"FIEBRE","EXANTEMA VIRAL",23,"#80800083",0.515620969279029
"FIEBRE","VIROSIS RESPIRATORIA ALTA",34,"#80800092",0.57262540844221
"FIEBRE","MAREO",13,"#8080006E",0.432411982084314
"FIEBRE","BRONQUITIS",41,"#80800099",0.599928577644636
"FIEBRE","DIARREA Y VOMITOS",47,"#8080009E",0.619846927227046
"FIEBRE","URTICARIA",26,"#80800088",0.533501447733296
"FIEBRE","BRONQUIOLITIS",96,"#808000B9",0.724006848827648
"FIEBRE","BRONQUITIS OBSTRUCTIVA RECURRENTE",26,"#80800088",0.533501447733296
"FIEBRE","CUIDADOS RESPIRATORIOS",11,"#80800068",0.408048602088398
"FIEBRE","REHABILITACION KINESICA",53,"#808000A3",0.637368926342829
"FIEBRE","TOS SECA",46,"#8080009D",0.616710434928011
"FIEBRE","LEUCEMIA LINFOIDE AGUDA",11,"#80800068",0.408048602088398
"FIEBRE","CONVULSION",18,"#8080007A",0.479871998503295
"FIEBRE","CONTROL POR CARDIOLOGIA",14,"#80800071",0.443219982917986
"FIEBRE","EVALUACION AUDIOLOGICA",51,"#808000A1",0.631758955064804
"FIEBRE","NEUMONITIS",23,"#80800083",0.515620969279029
"FIEBRE","CATARRO DE LAS VIAS AEREAS SUPERIORES Y TOS",20,"#8080007E",0.495237909996648
"FIEBRE","OTITIS",35,"#80800093",0.576852987656526
"FIEBRE","EVALUACION INICIAL DEL PACIENTE",32,"#80800090",0.563783836556071
"FIEBRE","CONJUNTIVITIS AGUDA",18,"#8080007A",0.479871998503295
"FIEBRE","TRASTORNO DEL LENGUAJE",11,"#80800068",0.408048602088398
"FIEBRE","TABAQUISMO",12,"#8080006B",0.420738451880701
"FIEBRE","PREQUIRURGICO",24,"#80800085",0.521827917529683
"FIEBRE","ICTERICIA",12,"#8080006B",0.420738451880701
"FIEBRE","CONTROL POR DERMATOLOGIA",18,"#8080007A",0.479871998503295
"FIEBRE","VOMITOS Y FIEBRE",42,"#8080009A",0.603442995189562
"FIEBRE","BRONCOESPASMO LEVE",33,"#80800091",0.568271614359975
"FIEBRE","DERMATITIS DEL PA—AL",11,"#80800068",0.408048602088398
"FIEBRE","FEBRICULA",15,"#80800074",0.453281990970259
"FIEBRE","OTITIS MEDIA AGUDA IZQUIERDA",16,"#80800076",0.462694370907089
"FIEBRE","HEMATOQUEZIA",11,"#80800068",0.408048602088398
"FIEBRE","DIARREA CON SANGRE",15,"#80800074",0.453281990970259
"FIEBRE","AFTA ORAL",18,"#8080007A",0.479871998503295
"FIEBRE","LEUCEMIA LINFOBLASTICA AGUDA",11,"#80800068",0.408048602088398
"FIEBRE","RESFRIO",47,"#8080009E",0.619846927227046
"FIEBRE","LARINGITIS AGUDA",14,"#80800071",0.443219982917986
"FIEBRE","INGESTION DE CUERPO EXTRA—O",18,"#8080007A",0.479871998503295
"FIEBRE","LLANTO",35,"#80800093",0.576852987656526
"FIEBRE","LINFOMA NO HODGKIN",14,"#80800071",0.443219982917986
"FIEBRE","FISIOTERAPIA RESPIRATORIA",45,"#8080009C",0.613505003241836
"FIEBRE","SOSPECHA DE INFECCION URINARIA",19,"#8080007C",0.487757230760782
"FIEBRE","INSUFICIENCIA RENAL AGUDA",14,"#80800071",0.443219982917986
"FIEBRE","LINFOMA",18,"#8080007A",0.479871998503295
"FIEBRE","ANTIBIOTICOTERAPIA",12,"#8080006B",0.420738451880701
"FIEBRE","ESTADO DE QUIMIOTERAPIA",17,"#80800078",0.471535942793228
"FIEBRE","BACTERIEMIA",17,"#80800078",0.471535942793228
"FIEBRE","INSUFICIENCIA RENAL",15,"#80800074",0.453281990970259
"FIEBRE","CONTROL POR SALUD MENTAL PEDIATRICA",24,"#80800085",0.521827917529683
"FIEBRE","MONONUCLEOSIS INFECCIOSA",11,"#80800068",0.408048602088398
"FIEBRE","HERIDA CORTANTE FRONTAL",11,"#80800068",0.408048602088398
"FIEBRE","COLANGITIS",16,"#80800076",0.462694370907089
"FIEBRE","TRAUMATISMO ENCEFALOCRANEANO LEVE",19,"#8080007C",0.487757230760782
"FIEBRE","ESTRE—IMIENTO",40,"#80800098",0.59632737564563
"FIEBRE","UROSEPSIS",14,"#80800071",0.443219982917986
"FIEBRE","DOLOR GARGANTA Y TOS",18,"#8080007A",0.479871998503295
"FIEBRE","RECHAZO TRASPLANTE RENAL",11,"#80800068",0.408048602088398
"FIEBRE","FIEBRE ALTA",14,"#80800071",0.443219982917986
"FIEBRE","APOYO NUTRICIONAL",24,"#80800085",0.521827917529683
"FIEBRE","MEDICINA TRANSFUSIONAL",59,"#808000A7",0.653009750774848
"FIEBRE","HIPOGAMMAGLOBULINEMIA",12,"#8080006B",0.420738451880701
"PARTO VAGINAL ESPONTANEO","EMBARAZO",43,"#8080009B",0.606874712833901
"PARTO VAGINAL ESPONTANEO","CONTRACCIONES UTERINAS",23,"#80800083",0.515620969279029
"PARTO VAGINAL ESPONTANEO","EMBARAZO A TERMINO",13,"#8080006E",0.432411982084314
"PARTO VAGINAL ESPONTANEO","PUERPERIO",26,"#80800088",0.533501447733296
"PARTO VAGINAL ESPONTANEO","TRABAJO DE PARTO",14,"#80800071",0.443219982917986
"INSUFICIENCIA CARDIACA","DISNEA",19,"#8080007C",0.487757230760782
"INSUFICIENCIA CARDIACA","MALESTAR GENERAL",12,"#8080006B",0.420738451880701
"INSUFICIENCIA CARDIACA","CONTROL DE SALUD",16,"#80800076",0.462694370907089
"INSUFICIENCIA CARDIACA","INSUFICIENCIA CARDIACA CONGESTIVA",32,"#80800090",0.563783836556071
"DOLOR ABDOMINAL","EMBARAZO",87,"#808000B5",0.709650223513094
"DOLOR ABDOMINAL","DOLOR DE GARGANTA",23,"#80800083",0.515620969279029
"DOLOR ABDOMINAL","DISNEA",13,"#8080006E",0.432411982084314
"DOLOR ABDOMINAL","DIARREA",46,"#8080009D",0.616710434928011
"DOLOR ABDOMINAL","DOLOR DE PECHO",13,"#8080006E",0.432411982084314
"DOLOR ABDOMINAL","BRONCOESPASMO",35,"#80800093",0.576852987656526
"DOLOR ABDOMINAL","ERUPCION CUTANEA",32,"#80800090",0.563783836556071
"DOLOR ABDOMINAL","MALESTAR GENERAL",122,"#808000C2",0.758961042318842
"DOLOR ABDOMINAL","COLICO RENAL",14,"#80800071",0.443219982917986
"DOLOR ABDOMINAL","INFECCION DEL TRACTO URINARIO",65,"#808000AA",0.667134452471836
"DOLOR ABDOMINAL","CATARRO DE LAS VIAS AEREAS SUPERIORES",46,"#8080009D",0.616710434928011
"DOLOR ABDOMINAL","CEFALEA",43,"#8080009B",0.606874712833901
"DOLOR ABDOMINAL","CERVICALGIA",14,"#80800071",0.443219982917986
"DOLOR ABDOMINAL","OTALGIA",37,"#80800095",0.584957365365883
"DOLOR ABDOMINAL","GASTROENTERITIS AGUDA",14,"#80800071",0.443219982917986
"DOLOR ABDOMINAL","CONTRACCIONES UTERINAS",32,"#80800090",0.563783836556071
"DOLOR ABDOMINAL","HIPERTENSION ARTERIAL",31,"#8080008F",0.559153566048329
"DOLOR ABDOMINAL","VOMITOS",53,"#808000A3",0.637368926342829
"DOLOR ABDOMINAL","TRAUMATISMO ENCEFALOCRANEANO",15,"#80800074",0.453281990970259
"DOLOR ABDOMINAL","TOS",84,"#808000B4",0.704532460838544
"DOLOR ABDOMINAL","NEUMONIA",13,"#8080006E",0.432411982084314
"DOLOR ABDOMINAL","DOLOR GINECOLOGICO",11,"#80800068",0.408048602088398
"DOLOR ABDOMINAL","CONTROL DE SALUD",118,"#808000C0",0.75409921642383
"DOLOR ABDOMINAL","FARINGITIS AGUDA",17,"#80800078",0.471535942793228
"DOLOR ABDOMINAL","GRIPE",14,"#80800071",0.443219982917986
"DOLOR ABDOMINAL","IRRITACION OCULAR",25,"#80800087",0.527781449086206
"DOLOR ABDOMINAL","ANEMIA",15,"#80800074",0.453281990970259
"DOLOR ABDOMINAL","CONTROL POR OFTALMOLOGIA",27,"#80800089",0.539005545125889
"DOLOR ABDOMINAL","CONJUNTIVITIS",18,"#8080007A",0.479871998503295
"DOLOR ABDOMINAL","DOLOR INGUINAL",11,"#80800068",0.408048602088398
"DOLOR ABDOMINAL","FARINGITIS",36,"#80800094",0.580961464152277
"DOLOR ABDOMINAL","LUMBALGIA",27,"#80800089",0.539005545125889
"DOLOR ABDOMINAL","COLICO ABDOMINAL",22,"#80800082",0.509138067737381
"DOLOR ABDOMINAL","REACCION ALERGICA",18,"#8080007A",0.479871998503295
"DOLOR ABDOMINAL","DOLOR TORACICO",12,"#8080006B",0.420738451880701
"DOLOR ABDOMINAL","ESTADO POSOPERATORIO",31,"#8080008F",0.559153566048329
"DOLOR ABDOMINAL","ANGUSTIA",11,"#80800068",0.408048602088398
"DOLOR ABDOMINAL","CONTROL POR OBSTETRICIA",16,"#80800076",0.462694370907089
"DOLOR ABDOMINAL","TRAUMATISMO DE MANO",13,"#8080006E",0.432411982084314
"DOLOR ABDOMINAL","GASTRITIS",12,"#8080006B",0.420738451880701
"DOLOR ABDOMINAL","CUADRO GRIPAL",20,"#8080007E",0.495237909996648
"DOLOR ABDOMINAL","GASTROENTERITIS",38,"#80800096",0.588846696409764
"DOLOR ABDOMINAL","ODINOFAGIA",16,"#80800076",0.462694370907089
"DOLOR ABDOMINAL","EMBARAZO A TERMINO",13,"#8080006E",0.432411982084314
"DOLOR ABDOMINAL","INSUFICIENCIA RENAL CRONICA",12,"#8080006B",0.420738451880701
"DOLOR ABDOMINAL","TOS CON FIEBRE",18,"#8080007A",0.479871998503295
"DOLOR ABDOMINAL","CONTROL POR GINECOLOGIA",17,"#80800078",0.471535942793228
"DOLOR ABDOMINAL","MAREO",14,"#80800071",0.443219982917986
